ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
2969,UNITED,Domestic Offpeak,U.S. West,Business,Connect from another flight,NA,5,10,Promoters,5,5,5,5,5,Male,NA,"$100,001-$150,000",No,NA,English
2970,AMERICAN,Domestic Offpeak,U.S. East,Business,Uber/Lyft,SECURITY LINES ARE ALWAYS WAY TOO LONG.,4,10,Promoters,4,3,3,5,4,Female,25-34,"$150,000 or higher",No,No,English
2971,UNITED,Domestic Peak,U.S. Midwest,Moving,Dropped off,GATE CHANGES NOT ANNOUNCED.,5,9,Promoters,4,NA,4,5,4,Female,55-64,"$150,000 or higher",NA,No,English
2972,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Connect from another flight,NA,5,9,Promoters,4,4,3,3,4,Male,35-44,NA,NA,No,English
2973,AMERICAN,Domestic Offpeak,U.S. East,Visit friends,BART,NA,4,10,Promoters,4,4,3,5,4,Male,25-34,"$50,000-$100,000",No,No,English
2974,UNITED,Domestic Peak,U.S. West,Visit friends,Connect from another flight,NA,4,5,Detractors,4,NA,3,NA,3,Female,35-44,"$50,000-$100,000",No,NA,English
2975,AMERICAN,Domestic Offpeak,U.S. East,Business,Uber/Lyft,NA,3,7,Passives,3,3,4,5,4,Male,55-64,"$150,000 or higher",Yes,No,English
2976,AMERICAN,Domestic Offpeak,U.S. East,Visit friends,Uber/Lyft,NA,5,10,Promoters,4,5,5,5,5,Female,18-24,"less than $50,000",No,No,English
2977,AMERICAN,Domestic Offpeak,U.S. East,Business,BART,NA,4,8,Passives,4,4,4,5,5,Male,25-34,"$100,001-$150,000",No,No,English
2978,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,9,Promoters,3,3,5,4,5,Female,45-54,"$150,000 or higher",No,Yes,English
2979,AMERICAN,Domestic Offpeak,U.S. East,Wedding/funeral/graduation,Uber/Lyft,NA,4,8,Passives,4,4,3,5,4,Male,45-54,"$150,000 or higher",Yes,No,English
