ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
1,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Limo,NA,4,8,Passives,3,3,4,3,4,Female,65 and over,"$50,000-$100,000",No,No,English
2,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Uber/Lyft,NA,3,10,Promoters,3,NA,NA,5,NA,Female,35-44,NA,NA,No,English
3,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Dropped off,NA,4,10,Promoters,NA,NA,4,4,5,Male,35-44,"$100,001-$150,000",No,No,English
4,SOUTHWEST,Domestic Offpeak,U.S. West,Business,BART,NA,3,5,Detractors,1,2,4,4,4,Male,35-44,"$100,001-$150,000",Yes,No,English
5,SOUTHWEST,Domestic Offpeak,U.S. West,Vacation,Van,NA,4,10,Promoters,NA,NA,4,5,4,Female,18-24,"$50,000-$100,000",No,No,English
6,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,5,10,Promoters,3,4,5,5,5,Female,25-34,"$50,000-$100,000",No,No,English
7,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Airport Bus,NA,5,10,Promoters,5,3,5,5,5,Female,35-44,"$150,000 or higher",No,No,English
8,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Uber/Lyft,NA,NA,8,Passives,3,NA,5,4,5,Female,55-64,NA,No,No,English
9,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,3,7,Passives,NA,NA,2,3,3,Female,45-54,"$100,001-$150,000",No,NA,English
10,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Uber/Lyft,NA,5,10,Promoters,3,5,3,4,3,Female,NA,NA,No,No,English
11,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,3,5,Detractors,1,3,3,4,2,Male,25-34,"$150,000 or higher",No,No,English
12,SOUTHWEST,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,NA,3,8,Passives,3,3,3,4,3,Male,NA,"$50,000-$100,000",No,No,English
13,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Dropped off,NA,4,10,Promoters,3,3,2,4,3,Female,18-24,"$50,000-$100,000",No,No,English
14,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,10,Promoters,2,3,2,4,3,Male,18-24,"less than $50,000",No,No,English
100,UNITED,Domestic Peak,U.S. East,Business,Limo,NA,4,11,NA,4,4,3,5,4,Female,55-64,"$150,000 or higher",Yes,Yes,English
101,UNITED,Domestic Peak,U.S. East,Business,Uber/Lyft,NA,3,6,Detractors,4,4,4,4,4,Female,35-44,NA,No,No,English
102,UNITED,Domestic Peak,U.S. East,Vacation,Rental Car,ELAVAATOR FROM AIRTRAIN TO TERMINAL WAS NOT WORKING,4,8,Passives,4,NA,4,4,4,Male,55-64,"$100,001-$150,000",No,No,English
103,UNITED,Domestic Peak,U.S. East,Visit friends,Airport Bus,NA,4,9,Promoters,4,4,4,5,4,Female,NA,"$50,000-$100,000",No,No,English
104,UNITED,Domestic Peak,U.S. East,Business,Drove,NA,NA,8,Passives,3,3,3,5,3,Male,55-64,"less than $50,000",No,Yes,English
105,UNITED,Domestic Peak,U.S. East,Visit friends,BART,NA,NA,11,NA,3,NA,4,4,3,Female,65 and over,"$150,000 or higher",No,No,English
191,AMERICAN,Domestic Offpeak,U.S. West,Business,Rental Car,"LOST MY WAY, NOT ABLE TO FIND CAR RENTAL LOT",5,10,Promoters,4,4,5,5,5,Female,55-64,"$100,001-$150,000",Yes,No,English
192,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,3,3,Detractors,2,3,NA,4,4,Female,45-54,"$150,000 or higher",Yes,No,English
193,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,3,8,Passives,2,3,5,5,5,Male,35-44,"$100,001-$150,000",No,No,English
194,AMERICAN,Domestic Offpeak,U.S. West,Business,BART,NA,4,8,Passives,3,2,5,4,4,Male,35-44,"$50,000-$100,000",No,No,English
195,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,4,8,Passives,4,4,3,4,4,Male,25-34,"$50,000-$100,000",No,No,English
196,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,3,5,Detractors,3,3,3,3,3,Female,25-34,NA,No,No,English
197,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Dropped off,NA,5,10,Promoters,4,5,4,4,4,Male,35-44,"$100,001-$150,000",NA,No,English
198,AMERICAN,Domestic Offpeak,U.S. West,Business,Drove,TICKET COUNTER WAS FAR FROM WHERE SECURITY IS FOR AMERICAN AIRLINES,4,10,Promoters,2,2,4,4,4,Male,25-34,"$100,001-$150,000",Yes,No,English
199,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,7,Passives,4,4,4,5,5,Female,25-34,"$100,001-$150,000",NA,No,English
200,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,8,Passives,3,3,5,5,3,Female,25-34,"$50,000-$100,000",NA,No,English
201,AMERICAN,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,4,8,Passives,4,4,4,3,3,Female,25-34,"$50,000-$100,000",No,No,English
202,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,7,Passives,3,2,4,4,4,Female,35-44,"$150,000 or higher",Yes,No,English
204,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Taxi,NA,3,7,Passives,NA,NA,3,5,3,Male,45-54,NA,Yes,No,English
208,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,11,NA,4,3,4,NA,4,NA,NA,NA,NA,NA,English
210,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Airport Bus,NA,3,7,Passives,3,3,5,4,4,Female,55-64,"$50,000-$100,000",No,No,English
212,AMERICAN,Domestic Offpeak,U.S. West,Business,Dropped off,NA,4,9,Promoters,4,4,4,5,4,Male,35-44,"$150,000 or higher",No,No,English
214,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,9,Promoters,4,4,4,4,3,Female,35-44,NA,No,No,English
216,AMERICAN,Domestic Offpeak,U.S. West,Business,Dropped off,NA,4,9,Promoters,4,4,4,4,4,Female,18-24,"$50,000-$100,000",Yes,Yes,English
218,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,LONG WALK FROM TERMINAL WITH MOVING WALKWAY OR COURTESY CART.,4,8,Passives,4,4,5,5,5,Male,65 and over,"$150,000 or higher",Yes,No,English
220,AMERICAN,Domestic Offpeak,U.S. West,Business,Rental Car,NA,NA,3,Detractors,4,4,3,3,4,Female,45-54,"$150,000 or higher",Yes,No,English
223,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,8,Passives,2,3,4,4,4,Male,45-54,"$150,000 or higher",Yes,No,English
225,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,8,Passives,3,4,5,5,5,Male,35-44,"$150,000 or higher",No,No,English
227,AMERICAN,Domestic Offpeak,U.S. West,Visit friends,BART,NA,4,8,Passives,3,3,3,4,3,Female,35-44,"$150,000 or higher",No,No,English
229,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,THE AMERICANAIRLINE LADY AT THE COUNTER JUST PLAY WITH HER PHONE AND REFUSED TO HELP US AFTER WE TOLD HER MACHINE DIDNT PRINT OUT BOARDING PASS,3,7,Passives,3,2,5,5,5,Female,25-34,"$150,000 or higher",Yes,NA,English
234,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,4,9,Promoters,5,4,4,5,4,Female,18-24,"$50,000-$100,000",No,No,English
236,AMERICAN,Domestic Offpeak,U.S. West,Vacation,Hotel Shuttle,NA,3,9,Promoters,3,3,3,4,3,Male,25-34,"less than $50,000",No,No,English
238,AMERICAN,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,8,Passives,4,4,4,5,4,Male,45-54,NA,No,No,English
241,UNITED,Domestic Offpeak,U.S. Midwest,Business,Connect from another flight,NA,5,10,Promoters,5,5,5,5,5,Female,45-54,"$50,000-$100,000",No,No,English
243,UNITED,Domestic Offpeak,U.S. Midwest,Business,Connect from another flight,NA,5,8,Passives,3,3,4,5,4,Male,25-34,"$150,000 or higher",No,No,English
245,UNITED,Domestic Offpeak,U.S. Midwest,Vacation,Connect from another flight,NA,3,8,Passives,5,4,5,5,5,Female,55-64,"$150,000 or higher",No,No,English
247,UNITED,Domestic Offpeak,U.S. Midwest,Business,Uber/Lyft,NA,4,8,Passives,4,3,4,4,4,Male,35-44,NA,Yes,No,English
249,UNITED,Domestic Offpeak,U.S. Midwest,Conference,Connect from another flight,NA,4,10,Promoters,4,4,5,5,5,Female,45-54,"$50,000-$100,000",No,NA,English
250,UNITED,Domestic Offpeak,U.S. Midwest,Vacation,Drove,TRAIN,4,10,Promoters,4,5,3,5,3,Male,35-44,"$150,000 or higher",No,No,English
252,AIR CANADA,International,North America,Visit friends,Drove,NA,4,9,Promoters,4,5,5,5,5,NA,NA,NA,Yes,NA,English
253,AIR CANADA,International,North America,Business,Taxi,NA,3,5,Detractors,3,3,3,4,3,Male,45-54,"$150,000 or higher",No,No,English
254,AIR CANADA,International,North America,Business,Rental Car,NA,4,8,Passives,3,3,5,5,5,Male,25-34,"$150,000 or higher",NA,No,English
255,AIR CANADA,International,North America,NA,BART,NA,5,9,Promoters,5,NA,NA,5,5,NA,NA,NA,NA,NA,English
256,AIR CANADA,International,North America,Visit friends,Uber/Lyft,NA,4,10,Promoters,3,3,5,5,5,Female,45-54,NA,No,No,English
257,AIR CANADA,International,North America,Business,Rental Car,NA,4,8,Passives,4,4,3,5,4,Male,35-44,NA,No,No,English
258,AIR CANADA,International,North America,Business,Rental Car,NA,4,8,Passives,3,3,3,4,4,Male,45-54,"$100,001-$150,000",No,NA,English
259,AIR CANADA,International,North America,Business,Uber/Lyft,NA,4,8,Passives,4,3,3,5,4,Male,25-34,"$100,001-$150,000",No,No,English
260,AIR CANADA,International,North America,School event,Uber/Lyft,NA,4,10,Promoters,4,4,5,5,5,Male,45-54,"$150,000 or higher",Yes,No,English
261,AIR CANADA,International,North America,Business,Uber/Lyft,NA,4,10,Promoters,NA,4,5,5,5,Female,18-24,"$50,000-$100,000",No,No,English
262,AIR CANADA,International,North America,Vacation,Rental Car,WE WERE PRIORITY & WAITED 10 MINUTES IN LINE B/C PPL WERE ASKING FOR INFO SHOULD BE MOVED TO ANOTHER LANE IF JUST INQUIRING. SHOULD NOT BE IN PRIORITY BUSINESS,4,8,Passives,4,4,4,4,4,Female,25-34,NA,NA,No,English
263,AIR CANADA,International,North America,Business,Connect from another flight,NA,3,7,Passives,2,3,5,5,5,Male,35-44,"$150,000 or higher",No,No,English
264,AIR CANADA,International,North America,Visit friends,Uber/Lyft,NA,2,5,Detractors,2,2,3,4,3,Male,25-34,"$150,000 or higher",Yes,No,English
265,AIR CANADA,International,North America,Business,Uber/Lyft,NA,3,5,Detractors,NA,NA,3,3,3,Male,25-34,"$150,000 or higher",Yes,No,English
266,AIR CANADA,International,North America,Business,Connect from another flight,NA,3,5,Detractors,2,2,3,3,3,Male,45-54,"$150,000 or higher",Yes,No,English
267,AIR CANADA,International,North America,Business,Connect from another flight,FINDING MY GATE,4,8,Passives,4,4,3,4,4,Male,45-54,"$100,001-$150,000",No,No,English
268,AIR CANADA,International,North America,Business,Uber/Lyft,NA,4,7,Passives,3,3,3,5,4,Male,25-34,"$50,000-$100,000",No,No,English
269,AIR CANADA,International,North America,Vacation,BART,NA,5,10,Promoters,5,5,5,3,3,Female,25-34,"$50,000-$100,000",No,No,English
270,UNITED,Domestic Offpeak,U.S. West,Business,Rental Car,NA,5,11,NA,NA,4,5,5,5,Male,55-64,NA,NA,NA,English
271,UNITED,Domestic Offpeak,U.S. West,Business,Rental Car,NA,4,10,Promoters,3,3,5,4,5,Female,25-34,"$150,000 or higher",No,No,English
272,UNITED,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,4,8,Passives,2,3,4,4,4,Female,18-24,"$50,000-$100,000",No,Yes,English
273,UNITED,Domestic Offpeak,U.S. West,Business,Rental Car,NA,4,10,Promoters,4,3,5,5,5,Female,35-44,"$50,000-$100,000",No,No,English
274,UNITED,Domestic Offpeak,U.S. West,Business,Connect from another flight,NA,5,8,Passives,4,4,4,4,4,Female,45-54,"$100,001-$150,000",No,No,English
275,UNITED,Domestic Offpeak,U.S. West,Business,BART,NA,3,6,Detractors,3,3,3,4,3,NA,25-34,"$50,000-$100,000",No,No,English
276,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,5,11,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,English
277,UNITED,Domestic Offpeak,U.S. East,Visit friends,BART,NA,4,10,Promoters,NA,4,4,5,4,Male,25-34,"less than $50,000",No,No,English
278,UNITED,Domestic Offpeak,U.S. East,Vacation,Dropped off,NA,3,0,Detractors,3,3,3,4,4,Male,25-34,"$50,000-$100,000",No,No,English
279,UNITED,Domestic Offpeak,U.S. East,Business,Group Rent Car,NA,4,8,Passives,3,3,5,5,4,Male,45-54,"$150,000 or higher",No,Yes,English
280,UNITED,Domestic Offpeak,U.S. East,Business,Taxi,NA,4,7,Passives,3,NA,4,5,4,Female,35-44,NA,Yes,No,English
281,UNITED,Domestic Offpeak,U.S. East,Vacation,Connect from another flight,NA,NA,10,Promoters,NA,NA,NA,NA,NA,Male,NA,NA,No,NA,English
282,UNITED,Domestic Offpeak,U.S. East,Conference,Uber/Lyft,NA,4,10,Promoters,3,4,5,5,5,Female,25-34,"$50,000-$100,000",Yes,No,English
283,UNITED,Domestic Offpeak,U.S. East,Vacation,Drove,NA,NA,8,Passives,NA,NA,NA,NA,NA,Male,65 and over,"$50,000-$100,000",No,No,English
284,UNITED,Domestic Offpeak,U.S. East,Business,Hotel Shuttle,NA,4,6,Detractors,4,4,2,4,NA,Female,65 and over,"$150,000 or higher",Yes,No,English
285,UNITED,Domestic Offpeak,U.S. East,Business,Connect from another flight,NA,3,8,Passives,NA,3,3,4,3,Female,25-34,"$50,000-$100,000",No,No,English
286,UNITED,Domestic Offpeak,U.S. Midwest,Vacation,Dropped off,SECURITY.,3,4,Detractors,3,3,5,5,5,Female,18-24,"$50,000-$100,000",Yes,NA,English
287,UNITED,Domestic Offpeak,U.S. East,Business,BART,AIRCRAFT MAINTENANCE ON A 1:15 PM FLIGHT FORCED ME TO BE REBOOKED ON A RED EYE,4,7,Passives,4,4,3,4,4,Female,35-44,"$150,000 or higher",No,No,English
288,UNITED,Domestic Offpeak,U.S. East,Vacation,Connect from another flight,NA,4,8,Passives,4,3,3,4,4,Female,45-54,NA,No,No,Spanish
289,SOUTHWEST,Domestic Peak,U.S. West,Visit friends,Dropped off,NA,4,8,Passives,3,3,5,5,NA,Male,65 and over,"$50,000-$100,000",No,No,English
290,SOUTHWEST,Domestic Peak,U.S. West,Visit friends,Dropped off,NA,5,10,Promoters,5,5,5,5,5,Female,35-44,"less than $50,000",No,Yes,English
291,UNITED,Domestic Offpeak,U.S. West,Wedding/funeral/graduation,Drove,JUST WAITING FOR THE WHEELCHAIR.,5,9,Promoters,5,4,3,4,4,Female,65 and over,"$50,000-$100,000",No,No,English
292,SOUTHWEST,Domestic Peak,U.S. West,Visit friends,Dropped off,NA,4,5,Detractors,3,3,4,3,3,Female,35-44,NA,No,Yes,English
293,UNITED,Domestic Offpeak,U.S. West,Business,Connect from another flight,JUST THE INTERNET. ONLY IN CUSTOMES (NONE).,5,10,Promoters,5,NA,NA,5,5,Female,35-44,"less than $50,000",No,No,English
294,UNITED,Domestic Offpeak,U.S. West,Vacation,Dropped off,NA,5,6,Detractors,5,4,4,5,4,NA,NA,NA,NA,NA,English
295,SOUTHWEST,Domestic Peak,U.S. West,Business,Uber/Lyft,TSA PRECHECK WASN'T GOOD. CANCELLED FLIGHT.,3,5,Detractors,2,3,3,3,3,Female,55-64,"$150,000 or higher",No,No,English
296,UNITED,Domestic Offpeak,U.S. West,Wedding/funeral/graduation,Dropped off,NA,5,10,Promoters,5,3,5,5,5,Female,65 and over,"$150,000 or higher",NA,No,English
297,UNITED,Domestic Offpeak,U.S. West,Vacation,BART,NA,5,9,Promoters,5,5,4,5,5,Male,45-54,"$150,000 or higher",Yes,No,English
298,UNITED,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,NA,10,Promoters,NA,NA,5,5,5,Male,35-44,NA,NA,NA,English
299,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Uber/Lyft,NA,3,11,NA,2,2,2,3,3,Female,NA,NA,NA,No,English
300,UNITED,Domestic Offpeak,U.S. West,Visit friends,Uber/Lyft,NA,4,9,Promoters,4,4,2,5,4,Female,55-64,NA,Yes,No,English
301,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Uber/Lyft,NA,4,9,Promoters,NA,NA,2,4,3,Female,25-34,"$50,000-$100,000",No,No,English
302,UNITED,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,3,5,Detractors,3,NA,4,5,4,Male,18-24,"$50,000-$100,000",No,No,English
303,SOUTHWEST,Domestic Peak,U.S. West,Visit friends,Taxi,NA,NA,11,NA,NA,5,NA,5,5,Female,65 and over,"$50,000-$100,000",No,No,English
304,UNITED,Domestic Offpeak,U.S. West,School event,Uber/Lyft,I ASKED TO REFILL MY DRINK AT BURGER KING THEY REFUSED TO REFILL MY DRINK.,3,5,Detractors,3,3,3,3,3,Female,45-54,"$150,000 or higher",Yes,No,English
305,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Rental Car,"LIMITED GAS STATIONS LEADING UP TO AIRPORT, TYPICALLY RIGHT NEAR RENTAL CAR SERVICE.",4,8,Passives,2,3,3,4,4,Female,25-34,"$50,000-$100,000",No,No,English
306,UNITED,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,8,Passives,4,4,4,5,4,Male,35-44,"$150,000 or higher",Yes,No,English
307,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Dropped off,NA,4,9,Promoters,3,2,4,3,4,Male,45-54,"$50,000-$100,000",No,No,English
308,UNITED,Domestic Offpeak,U.S. West,Business,Drove,TSA LINE,4,7,Passives,4,4,5,5,5,Female,55-64,"$150,000 or higher",No,No,English
309,UNITED,Domestic Offpeak,U.S. West,Business,Rental Car,NA,5,10,Promoters,4,4,5,5,5,Male,65 and over,"$150,000 or higher",No,No,English
310,UNITED,Domestic Peak,U.S. East,Vacation,Dropped off,NA,4,9,Promoters,4,5,5,5,5,Female,18-24,NA,Yes,NA,English
311,UNITED,Domestic Offpeak,U.S. West,Vacation,Dropped off,NA,4,10,Promoters,3,3,5,4,4,Male,55-64,"$150,000 or higher",No,No,English
312,UNITED,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,5,10,Promoters,5,5,4,5,4,Female,45-54,"$150,000 or higher",No,No,English
313,UNITED,Domestic Peak,U.S. East,Vacation,Connect from another flight,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English
314,UNITED,Domestic Offpeak,U.S. West,Business,Connect from another flight,NA,5,9,Promoters,4,3,5,5,5,Male,25-34,"$150,000 or higher",No,No,English
315,UNITED,Domestic Offpeak,U.S. West,Business,Connect from another flight,NA,4,8,Passives,4,4,4,5,4,Male,45-54,"$150,000 or higher",Yes,NA,English
317,UNITED,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,5,10,Promoters,4,5,4,5,4,Male,18-24,"$50,000-$100,000",No,No,English
318,UNITED,Domestic Offpeak,U.S. West,Conference,Airport Bus,"THE SIGNAGE FOR THE TERMINAL WINGS IS HARD TO UNDERSTAND. THE GATES ARE ABOVE THE SIGNS, THE SIGNS POINT TO OTHER WINGS, HOWEVER.",4,9,Promoters,4,3,4,4,4,Female,25-34,"$100,001-$150,000",No,No,English
319,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Uber/Lyft,NA,5,10,Promoters,2,3,3,3,5,Female,25-34,"less than $50,000",NA,No,English
320,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,3,5,Detractors,2,2,NA,4,NA,Female,55-64,"$150,000 or higher",No,No,English
321,SOUTHWEST,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,5,10,Promoters,3,3,3,4,2,Female,NA,NA,NA,NA,English
322,UNITED,Domestic Offpeak,U.S. West,Vacation,Rental Car,"WE HAD A GATE CHANGE, BUT I HAD AN APP.",5,8,Passives,3,3,3,5,4,Male,45-54,"$50,000-$100,000",No,No,English
323,UNITED,Domestic Offpeak,U.S. West,Business,Connect from another flight,NA,5,10,Promoters,5,5,5,5,5,Male,25-34,"$100,001-$150,000",No,No,English
324,SOUTHWEST,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,3,10,Promoters,NA,4,4,5,4,Male,25-34,"$50,000-$100,000",No,No,English
325,UNITED,Domestic Offpeak,U.S. West,Business,Rental Car,NA,4,9,Promoters,4,4,4,5,4,Male,35-44,"$150,000 or higher",Yes,Yes,English
326,UNITED,Domestic Offpeak,U.S. West,Business,Connect from another flight,NA,4,8,Passives,4,4,4,5,4,Male,45-54,"$150,000 or higher",Yes,Yes,English
327,UNITED,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,4,8,Passives,3,4,3,5,4,Male,25-34,NA,No,No,English
328,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,4,6,Detractors,4,4,4,5,4,Female,65 and over,"$100,001-$150,000",No,No,English
329,SOUTHWEST,Domestic Peak,U.S. West,Business,BART,NA,5,10,Promoters,5,5,5,5,5,Female,35-44,"$50,000-$100,000",No,No,English
330,ALASKA,Domestic Peak,U.S. West,Vacation,Uber/Lyft,CHECKED PHONE PULLED ASIDE,4,10,Promoters,4,5,4,4,4,Female,25-34,"$50,000-$100,000",No,No,English
331,ALASKA,Domestic Peak,U.S. West,Visit friends,Uber/Lyft,NA,3,7,Passives,3,3,3,4,3,Female,55-64,"$150,000 or higher",No,No,English
332,SOUTHWEST,Domestic Peak,U.S. West,Visit friends,Uber/Lyft,NA,4,8,Passives,3,4,5,5,4,Male,25-34,"$50,000-$100,000",NA,NA,English
333,ALASKA,Domestic Peak,U.S. West,Vacation,Uber/Lyft,NA,4,9,Promoters,4,3,4,4,5,Female,35-44,"$100,001-$150,000",NA,No,English
334,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Rental Car,NA,3,5,Detractors,3,3,4,4,4,Male,55-64,"$100,001-$150,000",No,No,English
335,SOUTHWEST,Domestic Peak,U.S. West,Visit friends,Drove,NA,4,10,Promoters,4,3,5,5,5,Female,65 and over,NA,No,No,English
336,ALASKA,Domestic Peak,U.S. West,Vacation,BART,NA,4,10,Promoters,5,5,5,5,5,Female,25-34,"$100,001-$150,000",No,No,English
337,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Uber/Lyft,NA,3,5,Detractors,2,3,3,4,3,Female,45-54,"$100,001-$150,000",No,No,English
338,ALASKA,Domestic Peak,U.S. West,Visit friends,Uber/Lyft,NA,4,6,Detractors,4,4,3,2,4,Female,55-64,"$150,000 or higher",Yes,No,English
339,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Dropped off,NA,3,8,Passives,3,3,4,3,3,Female,65 and over,"$50,000-$100,000",No,No,English
340,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Dropped off,NA,4,8,Passives,3,3,4,4,4,Male,35-44,"$50,000-$100,000",No,No,English
341,ALASKA,Domestic Peak,U.S. West,Visit friends,Dropped off,NA,4,8,Passives,4,4,5,4,5,Female,18-24,"$50,000-$100,000",Yes,No,English
342,LUFTHANSA,International,Europe,Visit friends,Dropped off,TSA PULLED ME ASIDE CHECKED LUGGAGE TOO LONG.,5,8,Passives,NA,NA,5,4,5,Female,55-64,"less than $50,000",No,NA,English
343,ALASKA,Domestic Peak,U.S. West,Vacation,Dropped off,NA,4,5,Detractors,3,3,4,3,4,Female,25-34,"less than $50,000",No,No,English
344,LUFTHANSA,International,Europe,Business,Uber/Lyft,1. NOT ENOUGH TIME TO GET ELECTRONICS FROM BACKPACK AT SECURITY LINE. 2. GOT LOST.,3,7,Passives,4,2,4,4,4,Male,25-34,NA,No,No,English
345,ALASKA,Domestic Peak,U.S. West,Vacation,Dropped off,NA,5,10,Promoters,3,3,5,5,5,Female,25-34,"less than $50,000",No,No,English
346,LUFTHANSA,International,Europe,Business,Taxi,NA,3,4,Detractors,2,2,2,4,2,Male,35-44,"$150,000 or higher",Yes,No,English
347,ALASKA,Domestic Peak,U.S. West,Business,Hotel Shuttle,NA,3,7,Passives,4,3,4,4,4,Female,35-44,"$150,000 or higher",No,Yes,English
348,LUFTHANSA,International,Europe,Vacation,Dropped off,BOARDING AREA SEATS EXTREMELY DIRTY.,4,10,Promoters,3,3,2,5,3,Male,35-44,"$150,000 or higher",No,NA,English
349,ALASKA,Domestic Peak,U.S. West,Vacation,Uber/Lyft,NA,5,10,Promoters,3,3,5,5,5,Male,25-34,"less than $50,000",No,No,English
350,ALASKA,Domestic Peak,U.S. East,Vacation,Dropped off,NA,3,5,Detractors,3,3,2,3,3,Male,25-34,"$50,000-$100,000",NA,No,English
351,LUFTHANSA,International,Europe,Business,Connect from another flight,NA,4,9,Promoters,4,3,5,4,5,Female,65 and over,"$50,000-$100,000",No,NA,English
352,LUFTHANSA,International,Europe,Vacation,Rental Car,NA,4,7,Passives,4,4,3,4,4,Male,35-44,"$100,001-$150,000",No,No,English
353,ALASKA,Domestic Peak,U.S. East,Vacation,Dropped off,COULDNT CONNECT TO WIFI BUT NOT THE END OF  THE WORLD,4,8,Passives,4,4,4,5,4,Male,35-44,"$50,000-$100,000",Yes,No,English
354,LUFTHANSA,International,Europe,Vacation,Rental Car,NA,5,10,Promoters,5,5,4,5,4,Female,55-64,NA,No,No,English
355,ALASKA,Domestic Peak,U.S. East,NA,Connect from another flight,WHEELCHAIR NOT AVAILABLE WHEN DE PLANING,NA,9,Promoters,NA,NA,NA,5,NA,Female,65 and over,"$50,000-$100,000",No,NA,English
356,LUFTHANSA,International,Europe,Vacation,BART,NA,NA,8,Passives,3,4,3,4,4,Male,less than 18,NA,No,No,English
357,LUFTHANSA,International,Europe,Business,Rental Car,NA,4,9,Promoters,4,4,4,4,4,Male,35-44,"$100,001-$150,000",NA,No,English
358,ALASKA,Domestic Peak,U.S. East,Business,Dropped off,NA,3,8,Passives,3,3,4,4,4,Female,45-54,NA,No,No,English
359,LUFTHANSA,International,Europe,Business,Uber/Lyft,NA,3,9,Promoters,3,3,4,4,3,Female,35-44,NA,Yes,No,English
360,ALASKA,Domestic Peak,U.S. East,Visit friends,Connect from another flight,COULDNT FIND FOOD TO TAKE WITH ME FOR MY NEXT 5 HR FLIGHT,3,5,Detractors,5,4,5,5,4,Female,65 and over,"$100,001-$150,000",No,No,English
361,LUFTHANSA,International,Europe,Vacation,Dropped off,NA,4,9,Promoters,NA,NA,4,5,4,Male,45-54,"less than $50,000",NA,No,English
362,ALASKA,Domestic Peak,U.S. East,Vacation,Uber/Lyft,NA,5,6,Detractors,5,NA,NA,5,5,Male,35-44,NA,No,No,English
363,LUFTHANSA,International,Europe,NA,Van,NA,4,9,Promoters,3,NA,4,4,4,Male,35-44,NA,No,No,English
364,LUFTHANSA,International,Europe,Business,Uber/Lyft,NA,5,10,Promoters,4,4,5,5,5,Male,35-44,NA,No,No,English
